Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
30, 12180.00, 0.40, 0.40, 100, singlePointCrossover, scrambleMutation, 1054
30, 12040.00, 0.40, 0.80, 100, crossover, swapMutation, 380
30, 12380.00, 0.40, 0.40, 100, singlePointCrossover, inversionMutation, 1049
30, 12380.00, 0.40, 0.40, 100, crossover, inversionMutation, 1204
30, 12240.00, 0.40, 0.40, 100, singlePointCrossover, flipMutation, 1145
30, 12110.00, 0.40, 0.80, 100, singlePointCrossover, swapMutation, 249
30, 12320.00, 0.40, 0.40, 100, twoPointCrossover, flipMutation, 1247
30, 12270.00, 0.40, 0.40, 100, twoPointCrossover, scrambleMutation, 1228
30, 12290.00, 0.40, 0.80, 100, twoPointCrossover, swapMutation, 316
30, 12270.00, 0.40, 0.40, 100, twoPointCrossover, inversionMutation, 1255
30, 12030.00, 0.50, 0.20, 100, crossover, swapMutation, 264
30, 12260.00, 0.40, 0.60, 100, crossover, scrambleMutation, 1260
30, 12270.00, 0.40, 0.60, 100, crossover, inversionMutation, 1262
30, 12140.00, 0.40, 0.60, 100, crossover, flipMutation, 1355
30, 12360.00, 0.40, 0.60, 100, twoPointCrossover, inversionMutation, 1035
30, 12180.00, 0.40, 0.60, 100, singlePointCrossover, scrambleMutation, 1144
30, 12080.00, 0.40, 0.60, 100, singlePointCrossover, flipMutation, 1319
30, 12380.00, 0.40, 0.60, 100, singlePointCrossover, inversionMutation, 1173
30, 12050.00, 0.50, 0.20, 100, singlePointCrossover, swapMutation, 309
30, 12330.00, 0.40, 0.60, 100, twoPointCrossover, scrambleMutation, 1160
30, 12230.00, 0.40, 0.60, 100, twoPointCrossover, flipMutation, 1257
30, 12360.00, 0.40, 0.80, 100, crossover, scrambleMutation, 1227
30, 12110.00, 0.40, 0.80, 100, crossover, flipMutation, 1313
30, 12070.00, 0.50, 0.20, 100, twoPointCrossover, swapMutation, 378
30, 12200.00, 0.40, 0.80, 100, crossover, inversionMutation, 1306
30, 12100.00, 0.50, 0.40, 100, crossover, swapMutation, 299
30, 12240.00, 0.40, 0.80, 100, singlePointCrossover, flipMutation, 1123
30, 12240.00, 0.40, 0.80, 100, singlePointCrossover, scrambleMutation, 1025
30, 12010.00, 0.50, 0.40, 100, singlePointCrossover, swapMutation, 295
30, 12380.00, 0.40, 0.80, 100, singlePointCrossover, inversionMutation, 1226
30, 12240.00, 0.50, 0.40, 100, twoPointCrossover, swapMutation, 278
30, 11960.00, 0.40, 0.80, 100, twoPointCrossover, flipMutation, 1297
30, 12380.00, 0.40, 0.80, 100, twoPointCrossover, scrambleMutation, 1314
30, 12180.00, 0.50, 0.20, 100, crossover, inversionMutation, 1122
30, 12360.00, 0.40, 0.80, 100, twoPointCrossover, inversionMutation, 1351
30, 12185.00, 0.50, 0.20, 100, crossover, flipMutation, 1381
30, 12200.00, 0.50, 0.20, 100, crossover, scrambleMutation, 1261
30, 11955.00, 0.50, 0.60, 100, crossover, swapMutation, 360
30, 12250.00, 0.50, 0.20, 100, singlePointCrossover, flipMutation, 1343
30, 12190.00, 0.50, 0.60, 100, singlePointCrossover, swapMutation, 382
30, 12360.00, 0.50, 0.20, 100, singlePointCrossover, inversionMutation, 1296
30, 12230.00, 0.50, 0.20, 100, twoPointCrossover, scrambleMutation, 1196
30, 12140.00, 0.50, 0.20, 100, twoPointCrossover, inversionMutation, 1192
30, 12225.00, 0.50, 0.20, 100, singlePointCrossover, scrambleMutation, 1381
30, 12310.00, 0.50, 0.60, 100, twoPointCrossover, swapMutation, 262
30, 12160.00, 0.50, 0.20, 100, twoPointCrossover, flipMutation, 1366
30, 12230.00, 0.50, 0.40, 100, crossover, scrambleMutation, 1340
30, 12120.00, 0.50, 0.40, 100, singlePointCrossover, flipMutation, 1287
30, 12240.00, 0.50, 0.40, 100, crossover, flipMutation, 1518
30, 12140.00, 0.50, 0.80, 100, crossover, swapMutation, 349
30, 12380.00, 0.50, 0.40, 100, crossover, inversionMutation, 1496
