Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12400.00, 0.50, 0.20, 700, uniformCrossover, inversionMutation, 215563, 49
100, 12350.00, 0.50, 0.20, 700, uniformCrossover, flipMutation, 219407, 0
100, 12400.00, 0.50, 0.20, 700, twoPointCrossover, flipMutation, 212557, 87
100, 12400.00, 0.50, 0.20, 700, singlePointCrossover, flipMutation, 217861, 15
100, 12400.00, 0.50, 0.20, 700, twoPointCrossover, scrambleMutation, 216331, 50
100, 12390.00, 0.50, 0.20, 700, twoPointCrossover, inversionMutation, 212287, 0
100, 12400.00, 0.50, 0.20, 700, singlePointCrossover, inversionMutation, 218387, 38
100, 12400.00, 0.50, 0.20, 700, uniformCrossover, scrambleMutation, 225630, 33
100, 12400.00, 0.50, 0.20, 700, singlePointCrossover, scrambleMutation, 222951, 5
100, 12390.00, 0.50, 0.30, 700, uniformCrossover, flipMutation, 219489, 0
100, 12390.00, 0.50, 0.30, 700, uniformCrossover, scrambleMutation, 213092, 0
100, 12400.00, 0.50, 0.30, 700, uniformCrossover, inversionMutation, 210659, 42
100, 12400.00, 0.50, 0.30, 700, singlePointCrossover, flipMutation, 212806, 17
100, 12400.00, 0.50, 0.30, 700, singlePointCrossover, inversionMutation, 210405, 66
100, 12400.00, 0.50, 0.30, 700, twoPointCrossover, flipMutation, 210242, 37
100, 12400.00, 0.50, 0.30, 700, singlePointCrossover, scrambleMutation, 214512, 80
100, 12400.00, 0.50, 0.30, 700, twoPointCrossover, scrambleMutation, 192235, 43
100, 12400.00, 0.50, 0.40, 700, uniformCrossover, flipMutation, 196645, 46
100, 12390.00, 0.50, 0.40, 700, uniformCrossover, scrambleMutation, 189530, 0
100, 12400.00, 0.50, 0.30, 700, twoPointCrossover, inversionMutation, 199066, 42
100, 12400.00, 0.50, 0.40, 700, uniformCrossover, inversionMutation, 189956, 98
100, 12400.00, 0.50, 0.40, 700, singlePointCrossover, flipMutation, 184912, 92
100, 12400.00, 0.50, 0.40, 700, twoPointCrossover, flipMutation, 175276, 87
100, 12400.00, 0.50, 0.40, 700, singlePointCrossover, scrambleMutation, 183337, 18
100, 12400.00, 0.50, 0.40, 700, singlePointCrossover, inversionMutation, 176168, 57
100, 12400.00, 0.50, 0.40, 700, twoPointCrossover, scrambleMutation, 168546, 73
100, 12400.00, 0.50, 0.40, 700, twoPointCrossover, inversionMutation, 143345, 64
100, 12400.00, 0.50, 0.50, 700, uniformCrossover, flipMutation, 144308, 67
100, 12400.00, 0.50, 0.50, 700, uniformCrossover, scrambleMutation, 142481, 44
100, 12390.00, 0.50, 0.50, 700, uniformCrossover, inversionMutation, 144260, 0
100, 12400.00, 0.50, 0.50, 700, singlePointCrossover, flipMutation, 143706, 58
100, 12370.00, 0.50, 0.50, 700, twoPointCrossover, flipMutation, 107600, 0
100, 12400.00, 0.50, 0.50, 700, singlePointCrossover, inversionMutation, 114658, 85
100, 12400.00, 0.50, 0.50, 700, singlePointCrossover, scrambleMutation, 118250, 57
100, 12400.00, 0.50, 0.50, 700, twoPointCrossover, inversionMutation, 107009, 65
100, 12400.00, 0.50, 0.50, 700, twoPointCrossover, scrambleMutation, 111589, 81
